SK_Aluno,CPF_Aluno,Nome_Plano,CPF_Personal,Quantia_Treinos
1,015.872.963-30,Standard,618.709.543-00,1
2,024.619.853-24,Anual,964.517.302-70,1
3,029.346.875-38,Basic,026.954.731-25,3
4,032.968.745-00,Basic,924.138.650-98,3
5,053.914.287-50,Standard,430.579.182-04,5
6,061.498.723-78,Premium,964.517.302-70,2
7,096.217.843-87,Anual,319.267.548-91,1
8,105.962.743-43,Anual,435.201.798-14,2
9,109.756.842-30,Premium,356.890.241-98,4
10,129.748.563-73,Premium,435.201.798-14,3
11,145.620.738-53,Premium,430.579.182-04,5
12,173.204.986-69,Anual,026.954.731-25,1
13,174.928.536-37,Premium,924.138.650-98,2
14,175.843.620-44,Premium,618.709.543-00,2
15,205.876.493-56,Premium,430.579.182-04,2
16,207.195.384-32,Standard,026.954.731-25,1
17,235.149.687-64,Anual,807.295.613-21,3
18,235.468.709-56,Standard,187.926.053-03,2
19,239.758.041-14,Basic,187.926.053-03,3
20,246.057.391-06,Premium,187.926.053-03,2
21,256.184.093-05,Anual,924.138.650-98,1
22,256.843.901-70,Premium,187.926.053-03,5
23,356.982.147-19,Standard,924.138.650-98,5
24,372.509.416-07,Anual,026.954.731-25,4
25,386.475.201-90,Basic,964.517.302-70,1
26,429.153.706-99,Basic,618.709.543-00,1
27,431.756.892-64,Anual,026.954.731-25,3
28,437.852.169-55,Anual,026.954.731-25,2
29,439.587.261-19,Standard,026.954.731-25,2
30,472.108.693-87,Premium,618.709.543-00,2
31,489.021.736-31,Standard,430.579.182-04,3
32,504.983.671-93,Basic,924.138.650-98,2
33,524.731.680-08,Anual,964.517.302-70,1
34,549.286.370-38,Basic,356.890.241-98,2
35,564.930.718-01,Anual,026.954.731-25,2
36,608.751.294-20,Basic,435.201.798-14,2
37,640.152.389-15,Basic,435.201.798-14,3
38,651.370.429-43,Basic,356.890.241-98,3
39,670.925.381-30,Premium,618.709.543-00,1
40,704.869.321-50,Basic,435.201.798-14,2
41,781.245.906-30,Standard,356.890.241-98,5
42,795.328.401-41,Standard,319.267.548-91,2
43,807.942.153-60,Basic,924.138.650-98,3
44,809.134.257-88,Premium,187.926.053-03,5
45,867.450.391-84,Premium,026.954.731-25,4
46,892.604.137-96,Standard,430.579.182-04,5
47,903.278.451-04,Basic,430.579.182-04,1
48,926.014.578-30,Basic,187.926.053-03,3
49,941.805.763-84,Standard,187.926.053-03,5
50,970.265.381-95,Premium,187.926.053-03,4
