SK_Venda,Quantia_Comprada,ID_Produto,Nome_Produto,Preco_Unitario,Valor_Total,CPF_Aluno,Nome_Plano,CPF_Personal,Quantia_Treinos,Data,Ano,Mes,Dia,Dia_Semana
22,8,4,Luva de Treino,49.9,399.2,356.982.147-19,Standard,924.138.650-98,5,2024-01-03,2024,1,3,Quarta-feira
204,10,3,Pre-Treino,79.9,799.0,024.619.853-24,Anual,964.517.302-70,1,2024-01-06,2024,1,6,Sábado
1035,1,6,Camiseta Dry Fit,39.9,39.9,145.620.738-53,Premium,430.579.182-04,5,2024-01-07,2024,1,7,Domingo
58,1,10,Corda de Pular,29.9,29.9,173.204.986-69,Anual,026.954.731-25,1,2024-01-09,2024,1,9,Terça-feira
107,6,7,Shorts Treino,49.9,299.4,061.498.723-78,Premium,964.517.302-70,2,2024-01-13,2024,1,13,Sábado
243,4,9,Isotonico,8.9,35.6,205.876.493-56,Premium,430.579.182-04,2,2024-01-16,2024,1,16,Terça-feira
1002,5,1,Whey Protein,89.9,449.5,032.968.745-00,Basic,924.138.650-98,3,2024-01-21,2024,1,21,Domingo
24,5,4,Luva de Treino,49.9,249.5,504.983.671-93,Basic,924.138.650-98,2,2024-01-23,2024,1,23,Terça-feira
34,1,6,Camiseta Dry Fit,39.9,39.9,145.620.738-53,Premium,430.579.182-04,5,2024-01-26,2024,1,26,Sexta-feira
116,9,9,Isotonico,8.9,80.1,235.149.687-64,Anual,807.295.613-21,3,2024-01-26,2024,1,26,Sexta-feira
7,7,2,Creatina,59.9,419.3,024.619.853-24,Anual,964.517.302-70,1,2024-01-31,2024,1,31,Quarta-feira
175,6,7,Shorts Treino,49.9,299.4,903.278.451-04,Basic,430.579.182-04,1,2024-02-01,2024,2,1,Quinta-feira
103,7,6,Camiseta Dry Fit,39.9,279.3,795.328.401-41,Standard,319.267.548-91,2,2024-02-07,2024,2,7,Quarta-feira
39,7,6,Camiseta Dry Fit,39.9,279.3,795.328.401-41,Standard,319.267.548-91,2,2024-02-16,2024,2,16,Sexta-feira
152,5,4,Luva de Treino,49.9,249.5,504.983.671-93,Basic,924.138.650-98,2,2024-02-16,2024,2,16,Sexta-feira
1047,3,7,Shorts Treino,49.9,149.7,807.942.153-60,Basic,924.138.650-98,3,2024-02-16,2024,2,16,Sexta-feira
182,9,9,Isotonico,8.9,80.1,256.843.901-70,Premium,187.926.053-03,5,2024-02-17,2024,2,17,Sábado
56,8,9,Isotonico,8.9,71.2,867.450.391-84,Premium,026.954.731-25,4,2024-02-18,2024,2,18,Domingo
17,8,3,Pre-Treino,79.9,639.2,867.450.391-84,Premium,026.954.731-25,4,2024-02-19,2024,2,19,Segunda-feira
160,9,6,Camiseta Dry Fit,39.9,359.1,029.346.875-38,Basic,026.954.731-25,3,2024-02-26,2024,2,26,Segunda-feira
48,8,8,Agua Mineral,3.5,28.0,129.748.563-73,Premium,435.201.798-14,3,2024-02-27,2024,2,27,Terça-feira
1020,6,4,Luva de Treino,49.9,299.4,109.756.842-30,Premium,356.890.241-98,4,2024-02-28,2024,2,28,Quarta-feira
47,6,7,Shorts Treino,49.9,299.4,903.278.451-04,Basic,430.579.182-04,1,2024-03-06,2024,3,6,Quarta-feira
145,8,3,Pre-Treino,79.9,639.2,867.450.391-84,Premium,026.954.731-25,4,2024-03-08,2024,3,8,Sexta-feira
1053,9,9,Isotonico,8.9,80.1,235.149.687-64,Anual,807.295.613-21,3,2024-03-09,2024,3,9,Sábado
63,4,10,Corda de Pular,29.9,119.6,903.278.451-04,Basic,430.579.182-04,1,2024-03-11,2024,3,11,Segunda-feira
1052,4,9,Isotonico,8.9,35.6,205.876.493-56,Premium,430.579.182-04,2,2024-03-11,2024,3,11,Segunda-feira
