ID_Produto,CPF_Aluno,Quantidade_Comprada
1,032.968.745-00,5
1,105.962.743-43,10
1,235.149.687-64,9
1,256.843.901-70,9
1,926.014.578-30,6
2,015.872.963-30,8
2,024.619.853-24,7
2,246.057.391-06,10
2,439.587.261-19,4
2,795.328.401-41,7
2,867.450.391-84,7
3,024.619.853-24,10
3,061.498.723-78,5
3,205.876.493-56,6
3,356.982.147-19,7
3,795.328.401-41,6
3,867.450.391-84,8
4,061.498.723-78,1
4,109.756.842-30,6
4,129.748.563-73,2
4,145.620.738-53,4
4,356.982.147-19,8
4,439.587.261-19,8
4,504.983.671-93,5
4,670.925.381-30,6
4,926.014.578-30,6
5,105.962.743-43,9
5,205.876.493-56,6
5,256.843.901-70,2
5,439.587.261-19,8
5,651.370.429-43,1
6,029.346.875-38,9
6,032.968.745-00,4
6,145.620.738-53,1
6,246.057.391-06,1
6,256.184.093-05,10
6,651.370.429-43,5
6,704.869.321-50,5
6,795.328.401-41,7
6,926.014.578-30,10
7,015.872.963-30,5
7,024.619.853-24,8
7,061.498.723-78,6
7,109.756.842-30,4
7,129.748.563-73,9
7,807.942.153-60,3
7,903.278.451-04,6
8,129.748.563-73,8
8,173.204.986-69,3
8,429.153.706-99,8
9,205.876.493-56,4
9,235.149.687-64,9
9,239.758.041-14,1
9,256.843.901-70,9
9,704.869.321-50,6
9,867.450.391-84,8
10,109.756.842-30,1
10,173.204.986-69,1
10,256.184.093-05,3
10,504.983.671-93,3
10,608.751.294-20,3
10,704.869.321-50,4
10,903.278.451-04,4
10,941.805.763-84,6
