ID_Produto,CPF_Aluno,Quantidade_Comprada,Data_Compra
1,032.968.745-00,5,2025-10-24
1,105.962.743-43,10,2025-05-07
1,235.149.687-64,9,2024-04-14
1,256.843.901-70,9,2024-03-18
1,926.014.578-30,6,2024-04-05
2,015.872.963-30,8,2024-06-09
2,024.619.853-24,7,2024-08-13
2,246.057.391-06,10,2025-06-23
2,439.587.261-19,4,2024-04-09
2,795.328.401-41,7,2024-08-04
2,867.450.391-84,7,2025-03-20
3,024.619.853-24,10,2025-10-22
3,061.498.723-78,5,2025-04-17
3,205.876.493-56,6,2024-05-06
3,356.982.147-19,7,2025-11-03
3,795.328.401-41,6,2026-02-24
3,867.450.391-84,8,2024-03-08
4,061.498.723-78,1,2026-04-12
4,109.756.842-30,6,2026-03-12
4,129.748.563-73,2,2024-08-16
4,145.620.738-53,4,2024-08-25
4,356.982.147-19,8,2024-12-30
4,439.587.261-19,8,2025-12-04
4,504.983.671-93,5,2024-02-16
4,670.925.381-30,6,2024-04-19
4,926.014.578-30,6,2025-03-02
5,105.962.743-43,9,2024-12-14
5,205.876.493-56,6,2024-04-13
5,256.843.901-70,2,2024-06-21
5,439.587.261-19,8,2025-09-10
5,651.370.429-43,1,2025-07-03
6,029.346.875-38,9,2024-02-26
6,032.968.745-00,4,2024-08-18
6,145.620.738-53,1,2025-01-04
6,246.057.391-06,1,2025-01-21
6,256.184.093-05,10,2024-07-15
6,651.370.429-43,5,2024-08-27
6,704.869.321-50,5,2025-08-07
6,795.328.401-41,7,2026-01-24
6,926.014.578-30,10,2025-01-16
7,015.872.963-30,5,2025-02-17
7,024.619.853-24,8,2025-07-20
7,061.498.723-78,6,2025-03-10
7,109.756.842-30,4,2026-01-02
7,129.748.563-73,9,2026-01-11
7,807.942.153-60,3,2025-12-15
7,903.278.451-04,6,2024-02-01
8,129.748.563-73,8,2024-03-15
8,173.204.986-69,3,2025-07-13
8,429.153.706-99,8,2026-01-19
9,205.876.493-56,4,2024-08-15
9,235.149.687-64,9,2024-12-06
9,239.758.041-14,1,2026-02-13
9,256.843.901-70,9,2024-02-17
9,704.869.321-50,6,2025-06-26
9,867.450.391-84,8,2025-06-12
10,109.756.842-30,1,2024-07-23
10,173.204.986-69,1,2024-07-23
10,256.184.093-05,3,2024-06-23
10,504.983.671-93,3,2025-11-30
10,608.751.294-20,3,2025-03-09
10,704.869.321-50,4,2025-09-18
10,903.278.451-04,4,2025-07-09
10,941.805.763-84,6,2024-07-19
