CPF_Aluno,Nome_Aluno,Telefone_Aluno,Nome_Plano,CPF_Personal
015.872.963-30,Luiz Fernando Jesus,84 3866 7939,Standard,618.709.543-00
024.619.853-24,Ana Carolina Montenegro,41 2679-8079,Anual,964.517.302-70
029.346.875-38,Maria Sophia Sales,+55 (041) 0414 ,Basic,026.954.731-25
032.968.745-00,Asafe Fogaça,+55 (031) 6199-,Basic,924.138.650-98
053.914.287-50,Rodrigo Cardoso,84 0939 8309,Standard,430.579.182-04
061.498.723-78,Augusto Albuquerque,+55 81 6365 407,Premium,964.517.302-70
096.217.843-87,Srta. Antonella Lopes,+55 (041) 2034 ,Anual,319.267.548-91
105.962.743-43,Mateus das Neves,(031) 6009-4032,Anual,435.201.798-14
109.756.842-30,Diego Carvalho,(041) 5341 2810,Premium,356.890.241-98
129.748.563-73,Antonella Cassiano,+55 (051) 9063-,Premium,435.201.798-14
145.620.738-53,Srta. Ayla Moreira,+55 (084) 6080-,Premium,430.579.182-04
173.204.986-69,Maria Luísa Vieira,+55 (021) 2043 ,Anual,026.954.731-25
174.928.536-37,Isabelly Dias,41 3445-9190,Premium,924.138.650-98
175.843.620-44,Benício Mendes,+55 (011) 7101-,Premium,618.709.543-00
205.876.493-56,Dr. Bernardo Souza,+55 11 9940 910,Premium,430.579.182-04
207.195.384-32,Sophia Macedo,(081) 9217 3332,Standard,026.954.731-25
235.149.687-64,Isabel Barros,+55 (041) 8591 ,Anual,807.295.613-21
235.468.709-56,Ana Luiza Carvalho,(071) 6457-0092,Standard,187.926.053-03
239.758.041-14,Kaique Fonseca,(021) 9606-4002,Basic,187.926.053-03
246.057.391-06,Antony Barros,+55 51 0281 933,Premium,187.926.053-03
256.184.093-05,Laura Garcia,0300-697-6776,Anual,924.138.650-98
256.843.901-70,Matheus Montenegro,+55 (071) 3158 ,Premium,187.926.053-03
356.982.147-19,Pietro Duarte,51 8930 8573,Standard,924.138.650-98
372.509.416-07,Bella Pimenta,(021) 7305 0540,Anual,026.954.731-25
386.475.201-90,Mateus da Rocha,(011) 2374 2939,Basic,964.517.302-70
429.153.706-99,Sophia Marques,0500 462 8152,Basic,618.709.543-00
431.756.892-64,Cecília Sá,(021) 1199 1365,Anual,026.954.731-25
437.852.169-55,Laís da Cruz,11 9449 2151,Anual,026.954.731-25
439.587.261-19,Dr. José Miguel Pimenta,(041) 1041 5868,Standard,026.954.731-25
472.108.693-87,Pedro Lucas Almeida,84 4941-2903,Premium,618.709.543-00
489.021.736-31,Carolina Campos,+55 84 5719-567,Standard,430.579.182-04
504.983.671-93,Enrico Moreira,+55 (061) 4159-,Basic,924.138.650-98
524.731.680-08,Aylla da Cruz,+55 (084) 9386-,Anual,964.517.302-70
549.286.370-38,Ágatha da Mata,+55 71 9852 503,Basic,356.890.241-98
564.930.718-01,Dom Campos,0900 297 7978,Anual,026.954.731-25
608.751.294-20,Bryan Novaes,+55 (031) 3443 ,Basic,435.201.798-14
640.152.389-15,Heloísa Novais,(084) 2381-3823,Basic,435.201.798-14
651.370.429-43,Luna da Rosa,(051) 6883 6692,Basic,356.890.241-98
670.925.381-30,Giovanna Caldeira,(051) 2354-8305,Premium,618.709.543-00
704.869.321-50,Davi Miguel Cavalcante,(071) 7498 8893,Basic,435.201.798-14
781.245.906-30,Maria Clara Silva,(021) 8110-0760,Standard,356.890.241-98
795.328.401-41,Srta. Beatriz Borges,0500 038 4470,Standard,319.267.548-91
807.942.153-60,Sara Carvalho,(031) 0840-5003,Basic,924.138.650-98
809.134.257-88,Lara Aparecida,61 4096-3022,Premium,187.926.053-03
867.450.391-84,Laura Cunha,(041) 1238 7998,Premium,026.954.731-25
892.604.137-96,Bianca da Costa,+55 84 2019 032,Standard,430.579.182-04
903.278.451-04,Sr. Pietro Barros,+55 (011) 9291-,Basic,430.579.182-04
926.014.578-30,Gabriel Casa Grande,61 9279-0700,Basic,187.926.053-03
941.805.763-84,Mateus Brito,+55 31 0992-925,Standard,187.926.053-03
970.265.381-95,Sr. Augusto Brito,31 0127 1425,Premium,187.926.053-03
