Nome_Aula,CPF_Aluno
Funcional,015.872.963-30
Spinning,015.872.963-30
Funcional,024.619.853-24
Musculacao,024.619.853-24
Musculacao,029.346.875-38
Yoga,029.346.875-38
Funcional,032.968.745-00
Pilates,032.968.745-00
Spinning,053.914.287-50
Pilates,061.498.723-78
Funcional,096.217.843-87
Spinning,105.962.743-43
Yoga,109.756.842-30
Musculacao,129.748.563-73
Pilates,129.748.563-73
Spinning,129.748.563-73
Funcional,145.620.738-53
Musculacao,145.620.738-53
Yoga,145.620.738-53
Spinning,173.204.986-69
Funcional,174.928.536-37
Pilates,174.928.536-37
Spinning,174.928.536-37
Funcional,175.843.620-44
Funcional,205.876.493-56
Musculacao,205.876.493-56
Spinning,205.876.493-56
Musculacao,207.195.384-32
Pilates,207.195.384-32
Yoga,207.195.384-32
Spinning,235.149.687-64
Musculacao,235.468.709-56
Pilates,235.468.709-56
Musculacao,239.758.041-14
Spinning,239.758.041-14
Funcional,246.057.391-06
Yoga,246.057.391-06
Funcional,256.184.093-05
Pilates,256.184.093-05
Musculacao,256.843.901-70
Spinning,256.843.901-70
Funcional,356.982.147-19
Yoga,356.982.147-19
Pilates,372.509.416-07
Yoga,372.509.416-07
Funcional,386.475.201-90
Pilates,386.475.201-90
Musculacao,429.153.706-99
Yoga,429.153.706-99
Yoga,431.756.892-64
Funcional,437.852.169-55
Spinning,437.852.169-55
Yoga,437.852.169-55
Funcional,439.587.261-19
Musculacao,439.587.261-19
Spinning,439.587.261-19
Funcional,472.108.693-87
Spinning,472.108.693-87
Yoga,472.108.693-87
Funcional,489.021.736-31
Musculacao,489.021.736-31
Yoga,504.983.671-93
Musculacao,524.731.680-08
Pilates,524.731.680-08
Spinning,524.731.680-08
Musculacao,549.286.370-38
Pilates,564.930.718-01
Musculacao,608.751.294-20
Pilates,608.751.294-20
Pilates,640.152.389-15
Yoga,640.152.389-15
Funcional,651.370.429-43
Yoga,651.370.429-43
Funcional,670.925.381-30
Spinning,670.925.381-30
Spinning,704.869.321-50
Pilates,781.245.906-30
Spinning,795.328.401-41
Yoga,795.328.401-41
Musculacao,807.942.153-60
Pilates,807.942.153-60
Yoga,807.942.153-60
Musculacao,809.134.257-88
Pilates,809.134.257-88
Spinning,809.134.257-88
Musculacao,867.450.391-84
Pilates,867.450.391-84
Yoga,867.450.391-84
Musculacao,892.604.137-96
Musculacao,903.278.451-04
Yoga,903.278.451-04
Spinning,926.014.578-30
Funcional,941.805.763-84
Yoga,941.805.763-84
Funcional,970.265.381-95
Pilates,970.265.381-95
