ID_Treino,Data_Criacao,CPF_Aluno
1,2025-03-08,256.184.093-05
2,2025-10-15,504.983.671-93
3,2025-12-18,504.983.671-93
4,2025-03-31,437.852.169-55
5,2025-09-10,437.852.169-55
6,2025-11-04,096.217.843-87
7,2025-11-03,431.756.892-64
8,2024-02-01,431.756.892-64
9,2024-09-04,431.756.892-64
10,2025-07-25,429.153.706-99
11,2024-03-23,704.869.321-50
12,2024-07-02,704.869.321-50
13,2024-07-30,781.245.906-30
14,2025-06-17,781.245.906-30
15,2024-07-31,781.245.906-30
16,2025-11-17,781.245.906-30
17,2024-11-28,781.245.906-30
18,2025-03-01,795.328.401-41
19,2025-05-18,795.328.401-41
20,2025-12-07,970.265.381-95
21,2025-01-29,970.265.381-95
22,2025-11-03,970.265.381-95
23,2026-04-02,970.265.381-95
24,2024-04-17,564.930.718-01
25,2025-09-22,564.930.718-01
26,2026-03-26,670.925.381-30
27,2025-06-15,608.751.294-20
28,2026-03-03,608.751.294-20
29,2025-05-12,941.805.763-84
30,2026-02-15,941.805.763-84
31,2024-11-17,941.805.763-84
32,2024-05-06,941.805.763-84
33,2024-06-25,941.805.763-84
34,2024-07-09,867.450.391-84
35,2025-07-29,867.450.391-84
36,2024-03-11,867.450.391-84
37,2024-05-13,867.450.391-84
38,2025-05-26,356.982.147-19
39,2024-03-13,356.982.147-19
40,2024-08-12,356.982.147-19
41,2025-01-30,356.982.147-19
42,2025-02-07,356.982.147-19
43,2025-09-23,032.968.745-00
44,2025-07-21,032.968.745-00
45,2025-02-15,032.968.745-00
46,2025-05-22,029.346.875-38
47,2025-10-09,029.346.875-38
48,2026-03-23,029.346.875-38
49,2024-07-30,015.872.963-30
50,2024-02-25,145.620.738-53
51,2025-08-02,145.620.738-53
52,2024-01-16,145.620.738-53
53,2024-02-09,145.620.738-53
54,2024-10-29,145.620.738-53
55,2026-02-03,809.134.257-88
56,2024-12-23,809.134.257-88
57,2025-01-21,809.134.257-88
58,2024-08-23,809.134.257-88
59,2024-10-27,809.134.257-88
60,2026-04-13,524.731.680-08
61,2025-08-22,207.195.384-32
62,2024-12-22,892.604.137-96
63,2025-09-11,892.604.137-96
64,2025-11-20,892.604.137-96
65,2025-01-09,892.604.137-96
66,2025-12-13,892.604.137-96
67,2024-08-29,053.914.287-50
68,2025-03-21,053.914.287-50
69,2025-11-25,053.914.287-50
70,2024-05-28,053.914.287-50
71,2025-02-25,053.914.287-50
72,2024-05-31,175.843.620-44
73,2024-06-03,175.843.620-44
74,2024-06-21,926.014.578-30
75,2025-10-13,926.014.578-30
76,2025-05-02,926.014.578-30
77,2025-03-24,205.876.493-56
78,2024-10-05,205.876.493-56
79,2025-06-30,640.152.389-15
80,2025-06-04,640.152.389-15
81,2024-09-29,640.152.389-15
82,2024-05-05,549.286.370-38
83,2025-10-31,549.286.370-38
84,2025-10-12,173.204.986-69
85,2025-01-03,109.756.842-30
86,2026-04-12,109.756.842-30
87,2024-02-27,109.756.842-30
88,2025-03-07,109.756.842-30
89,2025-07-18,239.758.041-14
90,2024-01-30,239.758.041-14
91,2025-08-27,239.758.041-14
92,2024-02-22,235.468.709-56
93,2024-02-22,235.468.709-56
94,2026-01-03,105.962.743-43
95,2024-07-24,105.962.743-43
96,2025-03-09,256.843.901-70
97,2026-03-24,256.843.901-70
98,2024-12-15,256.843.901-70
99,2024-08-05,256.843.901-70
100,2025-09-11,256.843.901-70
101,2025-12-31,174.928.536-37
102,2025-12-07,174.928.536-37
103,2025-07-21,235.149.687-64
104,2026-02-26,235.149.687-64
105,2026-03-04,235.149.687-64
106,2024-06-23,386.475.201-90
107,2025-07-26,903.278.451-04
108,2024-09-16,489.021.736-31
109,2024-09-09,489.021.736-31
110,2024-02-25,489.021.736-31
111,2024-05-04,651.370.429-43
112,2025-07-16,651.370.429-43
113,2024-04-22,651.370.429-43
114,2024-07-01,807.942.153-60
115,2024-12-10,807.942.153-60
116,2024-04-02,807.942.153-60
117,2024-02-19,061.498.723-78
118,2026-02-10,061.498.723-78
119,2024-06-28,372.509.416-07
120,2024-09-21,372.509.416-07
121,2024-01-02,372.509.416-07
122,2025-09-12,372.509.416-07
123,2025-05-26,129.748.563-73
124,2025-02-07,129.748.563-73
125,2026-01-19,129.748.563-73
126,2024-05-09,024.619.853-24
127,2025-04-02,246.057.391-06
128,2024-02-22,246.057.391-06
129,2026-01-15,439.587.261-19
130,2024-11-27,439.587.261-19
131,2024-06-29,472.108.693-87
132,2025-11-10,472.108.693-87
